City,Labor Force,Employment,Unemployment Number,Unemployment Rate
South Lake Tahoe,"12,500","12,000",500,4.3%
Auberry,"1,100","1,000",0,3.2%
Biola,600,500,100,14.7%
Calwa,800,800,100,9.6%
Cantua Creek,100,100,0,4.8%
Caruthers,"1,400","1,300",100,7.8%
Clovis,"55,200","52,700","2,500",4.6%
Coalinga,"6,400","6,000",500,7.1%
Del Rey,600,500,0,7.5%
Easton,"1,100","1,000",100,7.5%
Firebaugh,"3,900","3,500",400,11.1%
Fowler,"3,000","2,800",200,6.1%
Fresno,"239,500","224,800","14,700",6.1%
Friant,200,200,0,10.9%
Huron,"2,800","2,600",200,7.3%
Kerman,"6,900","6,500",400,5.5%
Kingsburg,"5,700","5,400",300,6.0%
Lanare,100,100,0,7.1%
Laton,800,700,100,8.3%
Mendota,"5,000","4,300",800,15.4%
Orange Cove,"3,700","3,400",300,8.8%
Parlier,"6,700","6,300",400,6.7%
Raisin,100,100,0,5.2%
Reedley,"12,400","11,100","1,400",10.9%
Riverdale,"1,500","1,400",100,8.0%
San Joaquin,"1,500","1,400",100,6.3%
Sanger,"11,800","10,900","1,000",8.1%
Selma,"10,800","10,200",600,5.6%
Shaver Lake,300,300,0,0.7%
Squaw Valley,"1,400","1,400",100,5.9%
Tranquillity,300,300,0,0.0%
Hamilton,950,930,20,2.4%
Orland,"3,640","3,390",250,6.9%
Willows,"2,630","2,460",170,6.4%
Armona,"1,500","1,300",100,9.9%
Avenal,"3,800","3,500",300,9.1%
Corcoran,"4,600","3,900",600,14.1%
Hanford,"25,400","23,800","1,600",6.2%
Home Garden,800,700,100,10.3%
Kettleman,800,700,100,6.8%
Lemoore,"12,300","11,700",600,5.0%
Lemoore Station,"1,400","1,300",100,7.2%
Stratford,400,300,100,21.5%
Arcata,"9,100","8,500",600,6.1%
Blue Lake,600,600,0,2.1%
Eureka,"12,800","12,300",500,3.9%
Ferndale,700,700,0,1.4%
Fortuna,"5,000","4,800",200,4.4%
Hydesville,500,500,0,0.8%
McKinleyville,"8,000","7,700",300,3.5%
Redway,800,700,0,4.6%
Rio Dell,"1,300","1,300",0,2.6%
Trinidad,100,100,0,0.0%
Willow Creek,400,400,0,2.4%
Big Pine,710,660,50,6.5%
Bishop,"1,820","1,790",30,1.8%
Cartago,10,10,0,0.0%
Darwin,0,0,0,0.0%
Dixon Lane Meadow Creek,"1,250","1,210",40,3.0%
Furnace Creek,130,130,0,0.8%
Independence,260,250,10,2.7%
Keeler,0,0,0,0.0%
Lone Pine,840,810,30,3.6%
Mesa,160,160,10,3.7%
Olancha,130,120,10,7.8%
Round Valley,220,220,0,0.9%
Shoshone,10,10,0,0.0%
Tecopa,50,30,20,31.3%
West Bishop,"1,400","1,370",30,2.1%
Wilkerson,260,260,10,2.3%
Clearlake,"6,360","5,940",420,6.5%
Clearlake Oaks,820,770,60,6.7%
Cobb,560,550,10,2.3%
Hidden Valley Lake,"3,060","3,010",50,1.7%
Kelseyville,"1,380","1,300",80,6.1%
Lakeport,"2,550","2,490",70,2.6%
Lower Lake,680,660,20,3.1%
Lucerne,"1,390","1,330",70,4.7%
Middletown,440,420,20,4.1%
Nice,"1,040",990,40,4.1%
North Lakeport,"1,630","1,590",50,2.9%
Upper Lake,510,500,10,2.3%
Susanville,"3,100","2,970",130,4.2%
Westwood,800,780,20,2.9%
Acton,"3,700","3,400",200,6.6%
Agoura Hills,"11,600","11,100",500,4.2%
Alhambra,"46,500","44,700","1,800",3.9%
Alondra Park,"3,700","3,500",200,5.8%
Altadena,"23,900","23,100",900,3.6%
Arcadia,"29,800","28,700","1,100",3.6%
Artesia,"8,000","7,800",200,2.8%
Avalon,"2,000","2,000",0,1.3%
Avocado Heights,"7,800","7,300",500,5.8%
Azusa,"25,000","23,900","1,100",4.5%
Baldwin Park,"34,700","33,000","1,700",4.9%
Bell,"15,100","14,400",800,5.2%
Bell Gardens,"18,100","17,300",800,4.5%
Bellflower,"36,600","34,600","2,000",5.3%
Beverly Hills,"18,400","17,600",700,4.1%
Bradbury,500,500,0,3.0%
Burbank,"59,400","56,300","3,100",5.2%
Calabasas,"12,300","11,900",400,3.1%
Carson,"46,300","43,900","2,400",5.2%
Cerritos,"25,500","24,500","1,000",3.9%
Charter Oak,"4,800","4,500",300,5.5%
Citrus,"5,500","5,200",200,4.3%
Claremont,"17,000","16,200",800,4.5%
Commerce,"6,000","5,600",400,6.7%
Compton,"39,500","36,900","2,600",6.6%
Covina,"24,100","22,900","1,100",4.7%
Cudahy,"10,100","9,700",500,4.6%
Culver,"22,900","21,900","1,000",4.3%
Del Aire,"5,700","5,500",300,4.4%
Desert View Highlands,"1,000",900,100,6.7%
Diamond Bar,"30,400","29,200","1,200",3.9%
Downey,"57,500","54,900","2,600",4.5%
Duarte,"11,200","10,600",600,5.3%
East Los Angeles,"57,600","53,100","4,500",7.8%
East Pasadena,"3,200","3,100",100,2.4%
East San Gabriel,"7,700","7,600",100,1.5%
El Monte,"51,600","49,300","2,300",4.4%
El Segundo,"9,700","9,300",400,3.8%
Florence Graham,"27,400","25,700","1,700",6.3%
Gardena,"30,400","28,900","1,500",4.9%
Glendale,"103,700","99,300","4,500",4.3%
Glendora,"26,200","25,100","1,100",4.2%
Hacienda Heights,"26,200","25,200",900,3.5%
Hawaiian Gardens,"6,000","5,700",400,6.3%
Hawthorne,"44,900","42,800","2,100",4.6%
Hermosa Beach,"12,600","12,400",300,2.2%
Hidden Hills,600,600,0,3.9%
Huntington Park,"26,700","25,400","1,300",4.8%
Industry,200,100,0,7.6%
Inglewood,"53,000","50,000","3,000",5.7%
Irwindale,600,600,0,7.2%
La Canada Flintridge,"9,700","9,500",200,2.0%
La Crescenta Montrose,"10,300","10,000",300,2.9%
La Habra Heights,"2,500","2,400",100,2.2%
La Mirada,"24,300","23,300","1,100",4.5%
La Puente,"19,100","18,200",900,4.5%
La Verne,"16,100","15,400",700,4.5%
Ladera Heights,"3,600","3,400",200,5.6%
Lake Los Angeles,"4,000","3,600",300,8.7%
Lakewood,"43,100","41,200","1,900",4.4%
Lancaster,"65,100","60,800","4,300",6.7%
