City,Median Age
Lompoc ,33.90
Las Flores CDP ,33.90
Irvine ,33.90
Pico Rivera ,34.00
Monmouth ,34.00
Marina ,34.00
Irwindale ,34.00
Gerber ,34.00
Boyes Hot Springs ,34.00
Santa Clara ,34.10
Sand City ,34.10
Los Angeles ,34.10
Clovis ,34.10
Anderson ,34.10
Cuyama ,34.20
Avenal ,34.20
Modesto ,34.20
Mountain View Acres ,34.30
Lodi ,34.30
Elk Grove ,34.30
Knights Landing ,34.30
Tehachapi ,34.40
Pine Canyon ,34.40
Indio Hills ,34.40
Greenfield CDP ,34.40
Burbank CDP ,34.50
Rancho Cucamonga ,34.50
Winchester ,34.60
Wildomar ,34.60
Hopland ,34.60
Moorpark ,34.70
Montebello ,34.70
Lindcove ,34.70
Green Acres ,34.70
Fallbrook ,34.70
Chowchilla ,34.70
Smith River ,34.80
Richmond ,34.80
Orange ,34.80
Fullerton ,34.80
Fetters Hot Springs-Agua Caliente ,34.80
Denair ,34.80
California City ,34.80
Taft ,34.90
Soledad ,34.90
Oakdale ,34.90
Crescent City ,34.90
Spring Valley CDP ,35.00
Nubieber ,35.00
Lemon Grove ,35.00
Emeryville ,35.00
Corcoran ,35.00
Vine Hill ,35.10
La Riviera ,35.10
Easton ,35.10
Buena Park ,35.10
Aliso Viejo ,35.10
New Cuyama ,35.10
Biggs ,35.10
San Jose ,35.20
Oceanside ,35.20
Hickman ,35.20
Dos Palos Y ,35.20
Campo ,35.20
Montalvin ,35.20
Camino Tassajara ,35.20
Santa Fe Springs ,35.30
Gustine ,35.30
El Paso De Robles ,35.30
Dublin ,35.30
Newark ,35.40
Charter Oak ,35.40
Whittier ,35.40
Oceano ,35.40
American Canyon ,35.50
Sunnyvale ,35.60
Garden Grove ,35.60
Castaic ,35.60
Brentwood ,35.60
South Lake Tahoe ,35.60
Marin City ,35.60
El Verano ,35.70
El Cerrito CDP ,35.70
Covina ,35.70
Soda Springs ,35.80
El Sobrante CDP ,35.80
Cressey ,35.80
Covelo ,35.80
Cottonwood ,35.80
Yolo ,35.90
Ukiah ,35.90
Mountain View ,35.90
Winters ,35.90
Rio Linda ,35.90
West Covina ,36.00
Signal Hill ,36.00
Rancho Santa Margarita ,36.00
Placentia ,36.00
Escalon ,36.00
Del Aire ,36.00
College City ,36.00
Cathedral City ,36.00
Upland ,36.10
Milpitas ,36.10
Homeland ,36.10
Grand Terrace ,36.10
Union City ,36.20
Temescal Valley ,36.20
Robbins ,36.20
Redlands ,36.20
Oakville ,36.20
Oakland ,36.20
Lincoln Village ,36.20
Hilmar-Irwin ,36.20
Eureka ,36.20
East La Mirada ,36.20
Cotati ,36.20
Canby ,36.20
Calpella ,36.20
Bayview CDP ,36.20
Santa Clarita ,36.20
Citrus Heights ,36.20
Upper Lake ,36.30
Mckinleyville ,36.30
Norris Canyon ,36.40
Colma ,36.40
Vernon ,36.50
Stevenson Ranch ,36.50
Nord ,36.50
Mountain View CDP ,36.50
Loleta ,36.50
Goleta ,36.50
Volta ,36.60
Quartz Hill ,36.60
Chino Hills ,36.60
Santa Rosa ,36.70
Rocklin ,36.70
Redwood City ,36.70
Ramona ,36.70
Twin Lakes ,36.80
Santa Barbara ,36.80
Roseville ,36.80
Morgan Hill ,36.80
Honcut ,36.80
Fremont ,36.80
Fields Landing ,36.80
Winter Gardens ,36.80
Tara Hills ,36.80
Boonville ,36.80
Monterey ,36.90
Linden ,36.90
Lake California ,36.90
Grover Beach ,36.90
Country Club ,36.90
Thermalito ,37.00
Talmage ,37.00
Nipomo ,37.00
Cowan ,37.00
Concord ,37.00
Apple Valley ,37.00
Albany ,37.00
Windsor ,37.00
Hermosa Beach ,37.00
San Ramon ,37.10
Midway City ,37.10
Meadowbrook ,37.10
La Mesa ,37.10
Grangeville ,37.10
Ripon ,37.10
Vacaville ,37.20
Santee ,37.20
Pasadena ,37.20
Lake Forest ,37.20
Whitewater ,37.30
Delleker ,37.30
Napa ,37.40
Middletown ,37.40
Fort Bragg ,37.40
Lakewood ,37.50
Industry ,37.50
Eucalyptus Hills ,37.50
Yosemite Valley ,37.60
Folsom ,37.60
Dustin Acres ,37.60
Carson ,37.60
Big Creek ,37.60
Crows Landing ,37.70
Avalon ,37.70
Yucaipa ,37.80
Willits ,37.80
Simi Valley ,37.80
